SRC_NAME,CODE,SRC_TYPE,CLASS,SRC_WEIGHT,RTE_ADJ_F,DEP_BEST,DEP_UPPER,DEP_LOWER,USD,LSD,OW_LSD,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,CAT_YMAX,PREF_STK,PREF_DIP,PREF_RKE,SHMAX,SHMAX_SIG,TRT,GMM_TRT,DOMAIN,CAT_FILE
Southeastern Basins,ZN5,area,5.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,8.0,7.8,8.2,49989.57,77504.71,32070.23,1.308,1.384,1.233,-99.0,-99.0,2000;1970;1960;1950;1885,2.95;3.45;4.05;4.55;5.65,2021.739,-999.0,-999.0,-999.0,134.78,15.0,Extended,Non_cratonic,5,NSHA23CAT_V0.1_hmtk_declustered.csv
Northwest Australia,ZN6a,area,1.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.3,7.3,7.1,7.5,10694.91,13079.16,8689.949,1.056,1.094,1.018,-99.0,-99.0,1985;1970;1960;1930;1905;1880,3.05;4.05;4.55;5.55;6.05;6.45,2021.739,-999.0,-999.0,-999.0,59.27,15.0,Cratonic,Cratonic,1,NSHA23CAT_V0.1_hmtk_declustered.csv
Northern Territory,ZN1a,area,1.0,1.0,1.1875,5.0,2.5,10.0,0.0,20.0,999,4.5,3.3,7.3,7.1,7.5,4063.809,4650.563,3482.794,1.056,1.094,1.018,-99.0,-99.0,1995;1970;1960;1930;1905;1880,3.05;3.95;4.55;5.55;6.05;6.55,2021.739,-999.0,-999.0,-999.0,28.18,31.24,Cratonic,Cratonic,1,NSHA18CAT_V0.1_hmtk_declustered.csv
Flinders Ranges,ZN2a,area,2.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,45150.76,61457.51,33097.2,1.261,1.313,1.208,-99.0,-99.0,1970;1960;1950;1885,2.95;4.05;4.55;5.65,2021.739,-999.0,-999.0,-999.0,102.08,15.0,Non_cratonic,Non_cratonic,2,NSHA23CAT_V0.1_hmtk_declustered.csv
Southern South Australia,ZN1b,area,2.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.0,7.3,7.1,7.5,11261.4,14566.07,8628.747,1.261,1.313,1.208,-99.0,-99.0,1970;1960;1950;1885,2.95;4.05;4.55;5.65,2021.739,-999.0,-999.0,-999.0,99.75,15.0,Cratonic,Cratonic,1,NSHA23CAT_V0.1_hmtk_declustered.csv
South-Central Australia,ZN3a,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,1102.99,1338.225,876.6375,1.016,1.071,0.96,-99.0,-99.0,1985;1970;1960;1930;1905;1880,3.05;4.05;4.55;5.55;6.05;6.45,2021.739,-999.0,-999.0,-999.0,91.88,15.0,Cratonic,Cratonic,3,NSHA23CAT_V0.1_hmtk_declustered.csv
Western Australia,ZN8b,area,1.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.3,7.1,7.5,14328.82,17740.16,11531.83,1.056,1.094,1.018,-99.0,-99.0,1985;1975;1960;1930;1905;1880,3.05;3.55;4.55;5.55;6.05;6.45,2021.739,-999.0,-999.0,-999.0,88.61,15.0,Cratonic,Cratonic,1,NSHA23CAT_V0.1_hmtk_declustered.csv
Eastern Australia Inner Zone,ZN4a,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.05,7.5,7.3,7.7,9767.4,11908.45,7905.88,1.189,1.235,1.144,-99.0,-99.0,1995;1980;1970;1960;1930;1905;1880,3.05;3.45;3.95;4.55;5.55;6.05;6.55,2021.739,-999.0,-999.0,-999.0,84.7,22.48,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Eastern Australia,ZN4b,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.05,7.5,7.3,7.7,52353.48,68521.76,39901.72,1.189,1.235,1.144,-99.0,-99.0,1995;1980;1970;1960;1930;1905;1880,3.05;3.45;3.95;4.55;5.55;6.05;6.55,2021.739,-999.0,-999.0,-999.0,61.01,35.23,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Central Australia,ZN3b,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,9299.405,12874.84,6679.575,1.016,1.071,0.96,-99.0,-99.0,1995;1970;1960;1930;1905;1880,3.05;3.95;4.55;5.55;6.05;6.55,2021.739,-999.0,-999.0,-999.0,63.69,22.11,Cratonic,Cratonic,3,NSHA23CAT_V0.1_hmtk_declustered.csv
Offshore Northeast,ZN7a,area,7.0,1.0,0.9993,10.0,5.0,15.0,0.0,20.0,999,4.5,3.5,7.7,7.5,7.9,713.5058,989.4475,471.6433,0.963,1.047,0.879,-99.0,-99.0,2000;1990;1970;1960;1930;1900;1880,2.95;3.45;3.95;4.45;5.55;6.05;6.45,2021.739,-999.0,-999.0,-999.0,28.56,15.0,Extended,Non_cratonic,7,NSHA23CAT_V0.1_hmtk_declustered.csv
Tasmania,ZN3c,area,2.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,11816.69,15059.1,9164.589,1.261,1.313,1.208,-99.0,-99.0,1990;1960;1945;1885,2.95;3.45;4.55;5.45,2021.739,-999.0,-999.0,-999.0,138.94,15.0,Non_cratonic,Non_cratonic,2,NSHA23CAT_V0.1_hmtk_declustered.csv
