eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,magnitudeType,Agency
610326271,1904,4,4,10,2,34,23.108,41.802,15.0,6.84,MW,bibliog
16957813,1904,4,4,10,26,0,23.249,41.758,15.0,7.02,MW,bibliog
16957820,1904,6,25,14,45,39,161.638,51.424,15.0,7.5,MW,bibliog
16957819,1904,6,25,21,0,38,160.277,52.763,30.0,7.7,MW,bibliog
16957826,1904,8,30,11,43,20,100.608,30.684,15.0,7.09,MW,bibliog
16957832,1904,12,20,5,44,20,-84.042,8.962,10.0,7.29,MW,
16957835,1905,2,14,8,46,34,-176.702,51.89,35.0,7.59,MW,
16957836,1905,2,17,11,41,7,97.17,23.689,15.0,7.26,MW,
16957838,1905,2,19,4,34,55,169.457,-14.123,15.0,7.33,MW,
16957841,1905,3,4,15,59,53,151.225,-6.639,15.0,6.96,MW,
16957840,1905,3,4,23,17,22,149.105,-4.635,15.0,7.01,MW,
16957847,1905,3,22,3,38,44,-179.859,51.145,35.0,7.18,MW,
610548597,1905,4,3,16,1,54,21.369,41.706,15.0,5.44,MW,
16957848,1905,4,4,0,49,59,76.916,32.597,20.0,7.9,MW,bibliog
610326404,1905,4,4,10,24,41,20.418,39.605,15.0,5.7,MW,
610548599,1905,4,25,9,23,52,168.676,-16.431,15.0,6.56,MW,
610326285,1905,4,29,1,47,2,7.04,46.094,15.0,5.3,MW,bibliog
610548600,1905,4,30,16,10,4,21.26,41.538,15.0,5.82,MW,
16957851,1905,5,18,13,45,27,149.949,-2.282,15.0,7.15,MW,
610548603,1905,5,20,11,6,10,39.397,40.162,15.0,5.62,MW,
610548604,1905,5,31,18,23,32,120.203,18.895,15.0,6.8,MW,
610326286,1905,6,1,4,42,11,19.248,42.092,15.0,6.55,MW,
610326405,1905,6,1,21,47,1,19.205,42.144,15.0,5.59,MW,
16957852,1905,6,2,5,39,39,131.759,33.715,60.0,6.91,MW,
610548605,1905,6,9,12,31,13,162.871,-10.646,15.0,6.69,MW,
16957856,1905,6,30,17,7,35,169.615,-19.266,15.0,6.9,MW,
914292,1905,7,6,16,20,46,144.119,38.417,15.0,7.67,MW,
16957859,1905,7,9,9,40,39,98.483,49.709,15.0,7.95,MW,bibliog
16957861,1905,7,11,8,39,39,98.5,50.24,15.0,6.9,MW,
16957862,1905,7,14,22,2,3,99.124,49.77,15.0,6.86,MW,
610548609,1905,7,17,0,23,24,171.862,-23.039,35.0,6.72,MW,
16957865,1905,7,23,2,46,24,96.843,49.292,15.0,8.33,MW,bibliog
16957863,1905,7,23,20,35,4,96.215,49.35,10.0,6.19,MW,
610326408,1905,8,4,5,8,57,19.925,41.743,15.0,6.19,MW,
16957871,1905,9,8,1,43,2,15.784,38.636,15.0,7.19,MW,
610548612,1905,9,14,19,41,40,-179.492,50.462,15.0,6.71,MW,
16957872,1905,9,15,6,2,20,163.952,55.751,15.0,7.84,MW,
16957874,1905,9,29,11,52,8,127.465,-8.277,35.0,7.16,MW,
610326295,1905,10,8,7,27,37,23.143,42.461,15.0,6.12,MW,
610548613,1905,10,15,21,42,12,-77.755,18.989,15.0,6.33,MW,
16957878,1905,11,8,22,6,11,24.627,40.092,15.0,7.24,MW,
16957879,1905,12,4,12,20,7,38.83,37.216,15.0,5.56,MW,
16957880,1905,12,10,12,35,3,-176.193,51.247,35.0,6.71,MW,
610548621,1905,12,10,18,9,58,125.858,13.445,15.0,6.8,MW,
610326299,1906,1,2,4,26,27,16.521,45.386,15.0,5.79,MW,
610548622,1906,1,6,21,31,33,170.1,53.418,35.0,6.58,MW,
610326302,1906,1,9,23,4,45,18.421,49.256,15.0,5.63,MW,
16957883,1906,1,21,13,49,33,138.025,34.175,300.0,7.4,MW,bibliog
610548623,1906,1,24,6,42,57,-125.314,50.088,15.0,6.45,MW,
610548624,1906,1,27,9,40,55,-172.794,50.814,15.0,6.93,MW,
16957884,1906,1,31,15,36,11,-79.347,0.988,20.0,8.45,MW,bibliog
610548625,1906,2,1,2,24,30,169.99,-11.61,15.0,6.63,MW,
16957885,1906,2,19,1,59,55,160.04,-9.899,15.0,7.3,MW,
610326306,1906,2,24,0,13,40,141.424,34.633,15.0,6.25,MW,
