Place,Longitude,Latitude,2007 PGA 500,2012 PGA 500,2018 PGA 475,2018 PGA 500
Adelaide,138.6,-34.93,0.1,0.058,0.035,0.036
Albany,117.88,-35.02,0.08,0.039,0.019,0.019
Albury/Wodonga,146.9,-36.06,0.09,0.048,0.022,0.023
Alice Springs,133.88,-23.7,0.08,0.03,0.01,0.011
Ballarat,143.86,-37.56,0.08,0.044,0.021,0.022
Ballidu,116.76,-30.6,0.15,0.105,0.088,0.092
Bathurst,149.58,-33.41,0.08,0.064,0.024,0.025
Bendigo,144.28,-36.75,0.09,0.037,0.018,0.019
Brisbane,153.02,-27.47,0.05,0.043,0.008,0.008
Broome,122.23,-17.95,0.12,0.061,0.045,0.047
Bunbury,115.66,-33.35,0.09,,0.021,0.021
Bundaberg,152.35,-24.86,0.11,0.056,0.012,0.012
Burnie,145.9,-41.05,0.07,0.029,0.014,0.015
Busselton,115.35,-33.65,0.09,,0.017,0.017
Cairns,145.76,-16.91,0.06,0.032,0.011,0.011
Camden,150.7,-34.06,0.09,0.059,0.025,0.026
Canberra,149.13,-35.3,0.08,0.06,0.048,0.05
Carnarvon,113.66,-24.88,0.09,0.057,0.033,0.034
Coffs Harbour,153.11,-30.3,0.05,0.019,0.007,0.007
Coolgardie,121.16,-30.95,0.06,,0.046,0.049
Cooma,149.13,-36.23,0.08,0.055,0.037,0.039
Dampier,116.71,-20.66,0.12,0.045,0.035,0.036
Darwin,130.83,-12.45,0.09,0.037,0.031,0.032
Denham,113.53,-25.93,0.09,,0.028,0.029
Derby,123.63,-17.31,0.09,0.06,0.042,0.044
Dowerin,117.03,-31.2,0.2,0.074,0.073,0.076
Dubbo,148.6,-32.25,0.08,0.051,0.015,0.016
Esperance,121.88,-33.86,0.09,0.044,0.017,0.017
Frankston,145.13,-38.14,0.09,,0.036,0.038
Gawler,138.49,-34.37,0.1,,0.034,0.035
Geelong,144.35,-38.15,0.1,0.059,0.032,0.033
Geraldton,114.61,-28.78,0.09,0.048,0.024,0.025
Gladstone,151.25,-23.85,0.09,0.041,0.008,0.009
Gold Coast,153.43,-28.02,0.05,0.028,0.006,0.007
Goomalling,116.83,-31.3,0.16,0.072,0.067,0.069
Gosford,151.35,-33.41,0.09,0.057,0.021,0.022
Goulburn,149.71,-34.75,0.09,0.059,0.043,0.045
Grafton,152.93,-29.68,0.05,0.021,0.006,0.007
Hawker,138.42,-31.89,0.14,,0.047,0.049
Heyfield,146.79,-37.98,0.1,,0.05,0.053
Hobart,147.33,-42.88,0.03,0.021,0.011,0.011
Jamestown,138.6,-33.21,,,0.047,0.049
Kalgoorlie,121.46,-30.75,0.07,0.111,0.083,0.09
Karratha,116.85,-20.73,0.12,0.043,0.032,0.033
Katoomba,150.31,-33.71,0.09,0.061,0.025,0.026
Kellerberrin,117.71,-31.63,0.14,0.08,0.062,0.065
Kimba,136.42,-33.14,0.08,,0.018,0.019
Kununurra,128.74,-15.77,0.09,,0.028,0.029
Launceston,147.13,-41.43,0.04,0.022,0.011,0.011
Leigh Creek,138.47,-30.54,0.11,,0.035,0.036
Leongatha,145.92,-38.52,0.1,,0.069,0.072
Lismore,153.28,-28.81,0.05,0.023,0.006,0.006
Lorne,143.98,-38.53,0.1,0.063,0.032,0.034
Mackay,149.16,-21.15,0.07,0.021,0.005,0.005
Maitland,151.55,-32.73,0.1,0.055,0.023,0.024
Margaret River,115.05,-33.97,0.09,,0.015,0.015
Meckering,117.01,-31.63,0.2,0.152,0.064,0.067
Melbourne,144.96,-37.81,0.08,0.059,0.03,0.031
Mittagong,150.45,-34.45,0.09,0.058,0.026,0.027
Morwell,146.4,-38.23,0.11,0.105,0.079,0.082
Newcastle,151.78,-32.93,0.11,0.051,0.021,0.022
Newman,119.73,-23.36,0.07,,0.019,0.019
Noosa,153.08,-26.4,0.08,0.048,0.009,0.009
Northam,116.66,-31.65,0.14,0.078,0.059,0.062
Orange,149.1,-33.28,0.08,0.064,0.028,0.029
Pakenham,145.49,-38.08,0.09,,0.04,0.042
Perth,115.86,-31.95,0.09,0.042,0.027,0.028
Peterborough,138.84,-32.97,,,0.042,0.043
Port Augusta,137.76,-32.48,0.11,0.049,0.03,0.031
Port Hedland,118.61,-20.31,0.12,0.054,0.037,0.039
Port Lincoln,135.86,-34.73,0.1,0.051,0.017,0.017
Port Macquarie,152.91,-31.43,0.06,0.025,0.01,0.011
Port Pirie,138.01,-33.2,0.1,0.059,0.035,0.036
Quairading,117.4,-32.01,,,0.066,0.069
Robe,139.76,-37.01,0.1,0.028,0.016,0.017
Rockhampton,150.5,-23.38,0.08,0.028,0.006,0.006
Sale,147.07,-38.11,0.1,,0.046,0.048
Shepparton,145.4,-36.38,0.09,0.049,0.019,0.019
Sydney,151.2,-33.86,0.08,0.056,0.021,0.022
Tamworth,150.93,-31.08,0.07,0.028,0.011,0.012
Taree,152.45,-31.91,0.08,0.029,0.012,0.012
Tennant Creek,134.18,-19.65,0.13,0.153,0.011,0.012
Toowoomba,151.95,-27.56,0.06,0.041,0.007,0.008
Townsville,146.8,-19.26,0.07,0.023,0.006,0.006
Tweed Heads,153.54,-28.18,0.05,0.026,0.006,0.006
Uluru,131.01,-25.28,0.08,0.057,0.03,0.031
Wagga Wagga,147.35,-35.13,0.09,0.048,0.024,0.025
Wangaratta,146.31,-36.36,0.09,0.055,0.021,0.022
Warragul,145.93,-38.17,0.09,,0.057,0.06
Whyalla,137.56,-33.03,0.09,0.045,0.022,0.023
Wickepin,117.5,-32.78,0.15,0.073,0.053,0.055
Wollongong,150.9,-34.41,0.09,0.055,0.024,0.025
